,2017,2030,2017 (MO),2030 (MO),,,,,,,,,
225,59.89,63.406,3.43,8.99E-07,,,,,,,,,
226,59.96,63.406,3.55,9.02E-07,,,,,,,,,
227,62.69,63.406,3.57,9.07E-07,,,,,,,,,
228,66.82,63.406,3.6,9.40E-07,,,,,,,,,
229,71.42,62.41,3.72,9.44E-07,,,,,,,,,
230,72.33,62.41,3.94,9.46E-07,,,,,,,,,
231,69.5,63.406,4.05,9.50E-07,,,,,,,,,
232,70.64,63.406,4.06,9.65E-07,,,,,,,,,
233,66.96,66.552,4.09,1.02E-06,,,,,,,,,
234,88.38,87.622,4.09,1.02E-06,,,,,,,,,
235,98.93,72.709,4.17,1.04E-06,,,,,,,,,
236,69.65,63.407,4.21,1.04E-06,,,,,,,,,
237,58.82,63.406,4.23,1.07E-06,,,,,,,,,
238,47.63,62.362,4.33,1.10E-06,,,,,,,,,
239,40.08,61.486,4.39,1.12E-06,,,,,,,,,
240,38.06,59.985,4.45,1.17E-06,,,,,,,,,
241,38.99,50.455,4.46,1.17E-06,,,,,,,,,
242,37.2,47.115,4.62,1.20E-06,,,,,,,,,
243,34.03,46.043,4.65,1.20E-06,,,,,,,,,
244,34.78,41.246,4.71,1.20E-06,,,,,,,,,
245,32.7,41.653,5.01,1.22E-06,,,,,,,,,
246,31.21,46.043,5.02,1.23E-06,,,,,,,,,
247,37.2,50.455,5.03,1.26E-06,,,,,,,,,
248,49.97,62.409,5.03,1.28E-06,,,,,,,,,
249,46.98,63.072,5.06,1.29E-06,,,,,,,,,
250,44.7,62.409,5.06,1.31E-06,,,,,,,,,
251,44.41,62.409,5.06,1.32E-06,,,,,,,,,
252,41.06,62.409,5.07,1.33E-06,,,,,,,,,
253,36.94,62.409,5.08,1.34E-06,,,,,,,,,
254,34.09,57.924,5.09,1.35E-06,,,,,,,,,
255,33.68,58.318,5.14,1.38E-06,,,,,,,,,
256,33.64,62.409,5.18,1.45E-06,,,,,,,,,
257,33.66,62.409,5.23,1.50E-06,,,,,,,,,
258,38.53,63.075,5.26,1.56E-06,,,,,,,,,
259,37.4,73.59,5.3,1.58E-06,,,,,,,,,
260,37.07,63.072,5.33,1.59E-06,,,,,,,,,
261,34,62.409,5.41,1.59E-06,,,,,,,,,
262,31.83,62.265,5.48,1.59E-06,,,,,,,,,
263,26.27,60.501,5.49,1.61E-06,,,,,,,,,
264,11.68,43.421,5.59,1.61E-06,,,,,,,,,
265,12.12,35.465,5.65,1.63E-06,,,,,,,,,
266,9.83,32.364,5.72,1.64E-06,,,,,,,,,
267,9.02,7.95E-06,5.86,1.64E-06,,,,,,,,,
268,9.27,8.99E-07,5.99,1.75E-06,,,,,,,,,
269,9.84,3.44E-07,6.14,1.79E-06,,,,,,,,,
270,10.55,3.45E-07,6.47,1.82E-06,,,,,,,,,
271,28.29,32.364,6.49,1.83E-06,,,,,,,,,
272,40.02,44.334,6.54,1.85E-06,,,,,,,,,
273,40.07,44.334,6.75,1.92E-06,,,,,,,,,
274,38.2,44.334,6.82,1.96E-06,,,,,,,,,
275,38.61,35.465,6.82,2.00E-06,,,,,,,,,
276,38.43,35.465,6.93,2.01E-06,,,,,,,,,
277,36.7,33.097,7,2.07E-06,,,,,,,,,
278,39.61,32.365,7.03,2.07E-06,,,,,,,,,
279,40.05,35.465,7.11,2.07E-06,,,,,,,,,
280,45.32,35.465,7.13,2.20E-06,,,,,,,,,
281,46.98,44.334,7.32,2.29E-06,,,,,,,,,
282,57.09,44.334,7.38,2.41E-06,,,,,,,,,
283,57.13,61.426,7.42,2.47E-06,,,,,,,,,
284,57.05,44.334,7.51,2.73E-06,,,,,,,,,
285,45.01,44.334,7.53,2.77E-06,,,,,,,,,
286,40.09,35.465,7.53,2.87E-06,,,,,,,,,
287,37.89,33.349,7.55,2.89E-06,,,,,,,,,
288,33.07,8.68E-05,7.55,2.90E-06,,,,,,,,,
289,35.19,2.90E-07,7.56,2.93E-06,,,,,,,,,
290,33.44,1.81E-07,7.56,2.93E-06,,,,,,,,,
291,32.44,1.53E-07,7.6,2.98E-06,,,,,,,,,
292,29.8,1.34E-07,7.66,2.99E-06,,,,,,,,,
293,29.25,1.76E-07,7.67,3.01E-06,,,,,,,,,
294,30.64,3.00E-07,7.68,3.22E-06,,,,,,,,,
295,37.27,33.348,7.68,3.29E-06,,,,,,,,,
296,46.98,44.334,7.74,3.31E-06,,,,,,,,,
297,45.5,44.334,7.81,3.44E-06,,,,,,,,,
298,45.48,41.688,7.83,3.59E-06,,,,,,,,,
299,46.96,33.349,7.83,3.62E-06,,,,,,,,,
300,46.7,32.364,7.84,3.64E-06,,,,,,,,,
301,43.07,32.364,7.86,3.70E-06,,,,,,,,,
302,42.06,32.364,7.89,3.74E-06,,,,,,,,,
303,41.98,32.639,7.92,3.81E-06,,,,,,,,,
304,43.03,35.465,7.95,4.10E-06,,,,,,,,,
305,44.87,44.334,8,4.29E-06,,,,,,,,,
306,48.72,61.426,8.02,4.34E-06,,,,,,,,,
307,45.17,51.232,8.03,4.53E-06,,,,,,,,,
308,44.94,44.334,8.04,4.59E-06,,,,,,,,,
